Cost of Revenue - GAAP,"$ 13,529","$ 13,194","$ 14,282","$ 12,369","$ 11,904"
Adjustments to reconcile GAAP Cost of Revenue to Non-GAAP,,,,,
Cost of Revenue:,,,,,
